Date,Week,Tm,,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed how,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score
2021-12-18,15,Patriots,Colts,1,0:21,32,Jake Bailey of the Patriots' punt is blocked at the 32-yard line (-68) by Matthew Adams of the Colts. Recovered by E.J Speed for a touchdown (-50).,BLOCKED at 32,-32,Touchdown,-70,TD,0,0,0,-102
2021-10-17,6,Vikings,Panthers,3,6:56,24,Jordan Berry of the Vikings' punt is BLOCKED by Frankie Luvu of the Panthers. RECOVERED by Kenny Robinson and returned 4 yards for a TOUCHDOWN.,BLOCKED at 24,-24,Touchdown,-70,TD,0,0,0,-94
2021-11-14,10,Jaguars,Colts,1,8:32,24,"Logan Cooke of the Jaguars' punt is blocked by Zaire Franklin of the Colts, touchdown",BLOCKED at 24,-24,Touchdown,-70,TD,0,0,0,-94
2021-09-12,1,Bills,Steelers,4,9:52,23,Matt Haack of the Bills' punt is BLOCKED at the 23-yard line (-77) by Miles Killebrew of the Steelers. RECOVERED by Ulysees Gilbert and returned for 9 yards for a TOUCHDOWN (50).,BLOCKED at 23,-23,Touchdown,-70,TD,0,0,0,-93
2021-11-14,10,Falcons,Cowboys,2,0:44,17,Dustin Colquitt of the Falcons' punt is blocked at the 17-yard line by Dorance Armstrong of the Cowboys. Returned by Nahshon Wright for a touchdown (-50),BLOCKED at 17,-17,Touchdown,-70,TD,0,0,0,-87
