Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-09-26,3,ARI,@,JAX,W 31-19,1,3:25,Own 1,Logan Cooke of the Jaguars punts 44 yards (44) downed by Rudy Ford (5) at the 1-yard line (50).        ,44,44,Caught on the bounce,5,1,50,None,0,99,,Between the 20- and 39-yard line,-10
2021-10-07,5,SEA,,RAM,L 26-17,4,14:42,Own 2,Johnny Hekker of the Rams punts 54 yards (54) downed by Ben Skowronek (5) at the 2-yard line (40).,54,54,Touched on the ground,5,2,40,None,0,99,,Bad snap but still got the punt off ,30
2021-11-07,9,GNB,@,KAN,L 13-7,2,8:19,Own 2,Tommy Townsend of the Chiefs punts 54 yards (54) downed by Marcus Kemp (5) at the 2-yard line (40).,54,54,Caught on the bounce,5,2,40,None,0,99,,,
2021-11-07,9,LAC,@,PHI,W 27-24,1,12:39,Own 1,Arryn Siposs of the Eagles punts 44 yards (44) downed by Zech McPhearson (5) at the 1-yard line (50).,44,44,Caught on the bounce,5,1,50,None,0,99,,,
2021-11-21,11,PHI,,NOR,W 40-29,2,2:50,Own 4,Blake Gillikin of the Saints punts 49 yards (49) downed by Zack Baun (5) at the 4-yard line (20) with an assist by J.T. Gray (25).,49,49,Touched on the ground,5,4,20,Batted back out of the end zone,25,99,,,
2021-12-12,14,CAR,,ATL,L 29-21,2,12:27,Own 3,99 TUPA = Thomas Morstead of the Falcons punts 64 yards (64) downed by Kendall Sheffield (5) at the 3-yard line (30).,64,64,Touched on the ground,5,3,30,None,0,99,,,
2021-10-10,5,WAS,,NOR,L 33-22,4,14:00,Own 2,Blake Gillikin of the Saints punts 53 yards (53) downed by Ty Montgomery (5) at the 2-yard line (40).,53,53,Caught on the bounce,5,2,40,None,0,98,,,
2022-01-17,WC,ARI,@,RAM,L 34-11,2,8:45,Own 1,98 TUPA = Johnny Hekker of the Rams punts 43 yards (43) downed by Ben Skowronek (5) at the 1-yard line (50).,43,43,Caught on the bounce,5,1,50,None,0,98,,,
2021-11-28,12,LAC,@,DEN,L 28-13,1,10:58,Own 1,Sam Martin of the Broncos punts 42 yards (42) downed by Nate Hairston (5) at the 1-yard line (50).,42,42,Touched on the ground,5,1,50,None,0,97,,,
2022-01-30,CON,RAM,,SFO,W 20-17,1,3:19,Own 3,97 TUPA = Mitch Wishnowsky of the 49ers punts 37 yards (37) downed by Ross Dwelley (5) at the 3-yard line (30) with an assist by Trent Sherfield (25).,37,37,Touched on the ground,5,3,30,Batted back out of the end zone,25,97,,,
2021-10-03,4,IND,@,MIA,W 27-17,2,13:10,Own 1,Michael Palardy of the Dolphins punts 41 yards (41) downed by Mack Hollins (5) at the 1-yard line (50).,41,41,Caught on the bounce,5,1,50,None,0,96,,Knocked out of bounds,15
2021-10-17,6,KAN,@,WAS,W 31-13,1,13:59,Own 5,Tress Way of WFT punts 66 yards (66) out of bounds (20) at the 5-yard line (10).,66,66,Out of bounds inside the 10 (Coffin corner),20,5,10,None,0,96,,,
